0	0	3854
0	1	3512
0	1	7793
0	1	1266
0	1	2984
0	1	7762
0	1	4495
0	1	381
0	1	1988
0	1	3859
0	1	7507
0	1	1469
0	1	3850
0	1	3699
0	1	2159
0	1	2576
0	1	3156
0	1	5865
0	1	1591
0	1	210
0	2	6080
1	1	3699
1	2	1317
2	1	1988
2	2	958
3	0	699
3	1	3512
3	1	381
3	1	3859
3	1	2159
3	1	7168
3	1	3156
3	1	5865
3	1	2508
3	1	3850
3	1	3699
3	1	7793
3	1	4112
3	1	4495
3	1	7507
3	1	1469
3	1	2984
3	1	1266
3	1	7762
3	1	1988
3	1	1591
3	1	210
3	2	1276
4	1	1988
4	2	1239
5	1	1988
5	2	1038
6	1	1988
6	2	2565
7	1	3512
7	2	4692
8	1	3512
8	2	531
9	1	1988
9	2	4204
10	1	3512
10	2	2779
11	0	6163
11	1	3512
11	1	381
11	1	3859
11	1	2159
11	1	7168
11	1	3156
11	1	5865
11	1	2508
11	1	3850
11	1	3699
11	1	7793
11	1	4112
11	1	4495
11	1	1469
11	1	2984
11	1	1266
11	1	7762
11	1	1988
11	1	1591
11	1	210
11	2	5048
12	0	6163
12	1	4112
12	1	1266
12	1	7762
12	1	4495
12	1	1988
12	1	3859
12	1	3850
12	2	4875
13	0	6163
13	1	1266
13	1	7762
13	1	1988
13	1	3850
13	1	3699
13	1	5865
13	2	2154
14	0	7193
14	1	4112
14	1	3512
14	1	1266
14	1	6333
14	1	4495
14	1	1988
14	1	3859
14	1	1469
14	1	3850
14	1	2159
14	1	7793
14	1	210
14	2	6812
15	1	1988
15	2	4711
16	0	7193
16	1	3512
16	1	381
16	1	3859
16	1	2576
16	1	2159
16	1	3156
16	1	5865
16	1	6333
16	1	2508
16	1	3850
16	1	7793
16	1	4112
16	1	4495
16	1	7507
16	1	1469
16	1	2984
16	1	1266
16	1	7762
16	1	1988
16	1	1591
16	1	210
16	2	4911
17	1	1988
17	2	632
18	0	7193
18	1	3512
18	1	7793
18	1	1266
18	1	2508
18	1	7762
18	1	4495
18	1	1988
18	1	3859
18	1	1591
18	1	1469
18	1	3850
18	1	2159
18	1	7168
18	1	3156
18	1	5865
18	1	210
18	2	5789
19	1	1988
19	2	7592
20	1	1988
20	2	4058
21	1	7762
21	2	3549
22	0	2684
22	1	3512
22	1	1266
22	1	2984
22	1	2508
22	1	7762
22	1	4495
22	1	381
22	1	1988
22	1	3859
22	1	7507
22	1	1469
22	1	3850
22	1	3699
22	1	2159
22	1	1591
22	1	3156
22	1	5865
22	1	210
22	2	338
23	1	3512
23	1	1266
23	1	1988
23	1	3859
23	1	1591
23	1	3850
23	1	2576
23	1	7793
23	2	3447
24	0	699
24	1	3512
24	1	7793
24	1	1266
24	1	2984
24	1	7762
24	1	4495
24	1	381
24	1	1988
24	1	3859
24	1	1591
24	1	1469
24	1	3850
24	1	4887
24	1	2159
24	1	3699
24	1	3156
24	1	5865
24	1	210
24	2	7669
25	1	1988
25	2	2344
26	0	6196
26	1	4112
26	1	3512
26	1	1266
26	1	2984
26	1	2508
26	1	7762
26	1	4495
26	1	381
26	1	1988
26	1	3859
26	1	1591
26	1	1469
26	1	3850
26	1	3699
26	1	2159
26	1	7168
26	1	3156
26	1	5865
26	1	210
26	2	6132
27	0	6196
27	1	3512
27	1	381
27	1	3859
27	1	2576
27	1	2159
27	1	7168
27	1	3156
27	1	5865
27	1	2508
27	1	3850
27	1	3699
27	1	7793
27	1	4112
27	1	6992
27	1	4495
27	1	7507
